1,1,1,1,1,1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
0.2306486078,0.7314978258,0.8990768296,-1,0.9851028801,0.8194864778
-1,-1,-1,-1,-1,-1
0.1495142337,0.64423036,0.9284133388,0.8647820194,0.8564346977,0.8585811915
0.1472447799,0.7296704073,0.7436356696,0.9613365592,1.0443336993,0.8696297608
0.1268086702,0.569804802,0.6383759692,0.7388912661,0.920061116,0.9626126735
0.1092670097,0.3965472468,0.657820715,0.6575082999,1.0174529644,0.8833954921
0.0997151089,0.4122957351,0.7551403442,0.5443535697,0.5207215996,0.5386448865
0.0992497525,0.4856627646,0.6986132678,0.5417176957,0.3751369883,0.3918266352
0.1069101098,0.3461024913,0.6692405431,0.4216683871,0.5612558968,0.5204613459
0.0931355383,0.353907669,0.586483778,0.3684396147,0.4271227408,0.3811863201
0.0915498075,0.3568106939,0.6886340513,0.4173969612,0.3920495533,0.3613324453
0.0960235438,0.3495771437,0.6282192839,0.4102024947,0.2809358345,0.2276925786
0.1024838556,0.3259578423,0.5951690775,0.2676818602,0.2670245345,0.2316257837
0.0938935491,0.3294441496,0.5338927247,0.2079460312,0.2803030951,0.2705651873
